EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,25,5,Wet Tropics,frequent,20.11,20.11,21.74,20.11,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8650,25,5,Wet Tropics,frequent,16.37,14.19,17.99,30.51,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8651,25,5,Wet Tropics,frequent,20.33,12.62,15.46,34.19,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8527,25,5,Wet Tropics,intermediate,20.91,31.31,12.59,21.42,13.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8618,25,5,Wet Tropics,intermediate,15.55,20,17.78,26.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8625,25,5,Wet Tropics,intermediate,28.68,7.92,12.02,34.85,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8634,25,5,Wet Tropics,intermediate,18.42,23.68,26.32,18.42,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8636,25,5,Wet Tropics,intermediate,13.22,24.14,22.99,21.26,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637,25,5,Wet Tropics,intermediate,23.13,20,22.75,20.82,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8639,25,5,Wet Tropics,intermediate,16.17,17.02,26.38,21.28,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
