duration_h,stratum,kind,aep_rain,weight,depth_point_mm,arf,depth_mm,q_peak,t_peak_h,volume_m3,prod_store,rout_store,donor_index,pattern_id,pattern_band,pattern_index,burst_start_step,month
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.5041131812017972,20.0,58075.877659713806,16.361643946991574,25.09288783323028,3,6899,frequent,6,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.3138155396981814,20.0,141616.02293886457,24.757708963016146,26.235030663683883,1,6894,frequent,2,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.2716205688345129,21.0,28864.318853247474,11.863051321930671,19.176789589361704,13,6902,frequent,8,0,8
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,8.869800725156214,18.0,874878.8260122199,33.32830198348823,41.75058563942265,59,6898,frequent,5,0,10
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,14.432684348590206,15.0,1427291.7858971024,35.46662039727254,55.8449911661217,19,6899,frequent,6,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,19.035111968239622,12.0,1820928.570248439,35.723793524430924,60.1751485820245,20,6900,frequent,7,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.06505118039324247,20.0,6774.922398206957,0.8902324581718087,15.441038296651707,40,6897,frequent,4,0,3
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.13335840603293433,20.0,14702.992926060744,4.9277897602189675,20.181081046825515,33,6899,frequent,6,0,2
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.18648340977951414,20.0,19424.097146527773,8.484177477719445,17.199213916881252,34,6897,frequent,4,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.45308849407532853,20.0,50559.79265758236,15.134229400179883,25.330345548297927,6,6877,frequent,1,0,8
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.47294408160486034,20.0,53841.00945480502,13.39144277499351,26.528391510807122,24,6897,frequent,4,0,9
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,4.299039894860355,18.0,459308.4416541932,32.75336266878746,33.395791697880576,47,6897,frequent,4,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.5059985010346596,20.0,58112.674582973625,16.361643946991574,25.09288783323028,3,6877,frequent,1,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.682251634328996,20.0,73819.2644913807,18.900891339300742,23.86978792362164,26,6894,frequent,2,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,3.565101156660125,20.0,361970.36775248335,32.39596435561998,23.448290628725527,30,6896,frequent,3,0,12
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,19.035111968239622,12.0,1820928.570248439,35.723793524430924,60.1751485820245,20,6900,frequent,7,0,6
6.0,1,0,0.8857461517445976,0.0006065467342724377,18.393789456383214,0.941,17.308555878456602,0.14089401387872366,20.0,15472.851731251498,4.9277897602189675,20.181081046825515,33,6899,frequent,6,0,2
6.0,1,0,0.8905985256187772,0.0006065467342724377,18.23497529463081,0.941,17.159111752247593,0.438375417782662,21.0,46873.44035159185,15.516457451010773,22.230824998711835,9,6898,frequent,5,0,7
6.0,1,0,0.877861044199056,0.0006065467342724377,18.64470320533429,0.941,17.54466571621957,0.2857348334936578,21.0,32403.239804687433,8.885849666598485,24.380251867036122,43,6896,frequent,3,0,4
6.0,1,0,0.8869592452131425,0.0006065467342724377,18.354416642117,0.941,17.271506060232095,0.07473573746811442,21.0,8850.856109229346,0.029966885429091376,20.453988651327812,27,6903,frequent,9,0,1
6.0,1,0,0.8790741376676008,0.0006065467342724377,18.60664247927883,0.941,17.50885057300138,0.8356247546533211,20.0,89661.13203551025,21.86576136151834,22.44623462143921,46,6899,frequent,6,0,6
6.0,1,0,0.8717955768563316,0.0006065467342724377,18.832264413667694,0.941,17.7211608132613,3.3819110256841403,19.0,365683.9511431952,30.73843609644702,35.36758193921087,7,6899,frequent,6,0,11
6.0,1,0,0.8851396050103252,0.0006065467342724377,18.413395691430726,0.941,17.327005345636312,0.10534220609151267,21.0,11279.413842372003,3.1596670907993056,18.334348434211318,39,6903,frequent,9,0,11
6.0,1,0,0.8736152170591489,0.0006065467342724377,18.776462508259268,0.941,17.668651220271972,0.27222969704132155,21.0,28717.93538699505,10.495897717409266,20.025519349783945,32,6903,frequent,9,0,1
6.0,1,0,0.8815003246046905,0.0006065467342724377,18.52994395395203,0.941,17.436677260668862,0.2622592844917033,21.0,29759.316316639837,9.014584711221108,23.684141183818397,52,6899,frequent,6,0,9
6.0,1,0,0.8966639929615015,0.0006065467342724377,18.031209004436924,0.941,16.967367673175143,0.362010270201731,21.0,39290.141855530645,15.54871316448108,19.928503349303664,16,6896,frequent,3,0,5
6.0,1,0,0.8808937778704181,0.0006065467342724377,18.549191894068045,0.941,17.454789572318028,0.12293345311385556,19.0,12992.458434746712,4.386597527521461,17.59590331474779,8,6900,frequent,7,0,2
6.0,1,0,0.8760414039962386,0.0006065467342724377,18.701443910292237,0.941,17.598058719584994,1.7925325517043469,21.0,187317.66273968405,26.78114826779445,24.414372785429563,51,6896,frequent,3,0,8
6.0,1,0,0.897270539695774,0.0006065467342724377,18.010489336283488,0.941,16.94787046544276,0.18844013283681585,21.0,19550.7412589646,8.484177477719445,17.199213916881252,34,6902,frequent,8,0,5
6.0,1,0,0.8912050723530496,0.0006065467342724377,18.214869402603426,0.941,17.140192107849824,10.285519585993255,17.0,1099272.8198539158,34.98878070569734,53.010641991651184,18,6899,frequent,6,0,6
6.0,1,0,0.8784675909333284,0.0006065467342724377,18.62569650083841,0.941,17.526780407288943,0.11021503481293415,21.0,11721.824253504365,3.3441906961361494,18.125246451414473,28,6903,frequent,9,0,10
6.0,1,0,0.8893854321502322,0.0006065467342724377,18.275014139312486,0.941,17.196788305093047,0.15161202965529844,21.0,16453.96693452014,5.811071916241512,19.973305627606344,36,6899,frequent,6,0,10
6.0,1,0,0.8693693899192418,0.0006065467342724377,18.90607150949035,0.941,17.790613290430418,17.09282559927931,15.0,1383044.831517342,35.19687080224384,31.761591872478665,2,6902,frequent,8,0,5
6.0,1,0,0.8924181658215944,0.0006065467342724377,18.174481617722936,0.941,17.102187202277282,0.09962195944484205,20.0,10655.795764710905,3.105357790037527,18.00053638581747,55,6870,frequent,0,0,6
6.0,1,0,0.8639104693107899,0.0006065467342724377,19.069766914283406,0.941,17.944650666340685,0.2264107356597431,21.0,23355.67326771147,9.762889951277886,16.67603201393623,41,6903,frequent,9,0,3
6.0,1,0,0.8845330582760528,0.0006065467342724377,18.432949195040113,0.941,17.345405192532745,9.172414447995475,17.0,959141.0732156741,34.76222886941459,46.40064260982508,48,6870,frequent,0,0,6
6.0,1,0,0.8863526984788701,0.0006065467342724377,18.374129954395574,0.941,17.290056287086234,3.6764116889560943,20.0,370317.7843999573,32.39596435561998,23.448290628725527,30,6899,frequent,6,0,12
6.0,1,0,0.8954508994929566,0.0006065467342724377,18.07245578444886,0.941,17.006180893166377,4.55651060948832,19.0,467581.38458050624,29.873041415426165,37.6239700828967,58,6877,frequent,1,0,10
6.0,1,0,0.8996967266328637,0.0006065467342724377,17.926951951971137,0.941,16.869261786804838,0.14573291822222562,21.0,15791.908195216532,5.811071916241512,19.973305627606344,36,6896,frequent,3,0,10
6.0,1,0,0.896057446227229,0.0006065467342724377,18.051864252155042,0.941,16.986804261277893,4.518519733143037,19.0,467765.78481262963,29.873041415426165,37.6239700828967,58,6899,frequent,6,0,10
