EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
5559,Murray Basin,Murray Basin,1440,60,143.27,1000,2.3,1.570796,3047,-37.4875,145.3125
5560,Murray Basin,Murray Basin,1440,60,126.24,1000,1.5,1.570796,2161,-36.1375,149.5125
5561,Murray Basin,Murray Basin,1440,60,124.04,1000,1.5,1.570796,3052,-36.7375,146.4125
5562,Murray Basin,Murray Basin,1440,60,122.85,1000,2.3,1.570796,2298,-36.8875,146.3625
5563,Murray Basin,Murray Basin,1440,60,103.05,1000,1.5,1.570796,1895,-35.3875,148.8625
5564,Murray Basin,Murray Basin,1440,60,101.74,1000,1.5,2.356194,1066,-35.5875,149.0625
5565,Murray Basin,Murray Basin,1440,60,100.56,1000,2.3,2.356194,517,-35.5875,148.8625
5566,Murray Basin,Murray Basin,1440,60,100.04,1000,2.3,2.356194,1706,-35.8375,149.4625
5567,Murray Basin,Murray Basin,1440,60,142.8,2500,1.5,0,1917,-35.3875,148.8625
5568,Murray Basin,Murray Basin,1440,60,141.58,2500,1.5,2.3561945,1869,-36.6875,146.0625
5569,Murray Basin,Murray Basin,1440,60,123.23,2500,2.3,1.5707963,1296,-35.6375,149.4625
5570,Murray Basin,Murray Basin,1440,60,120.98,2500,1.5,1.5707963,3051,-37.4875,145.3125
5571,Murray Basin,Murray Basin,1440,60,103.8,2500,1.5,1.5707963,2300,-36.6375,147.3625
5572,Murray Basin,Murray Basin,1440,60,102.28,2500,3.6,1.5707963,2162,-36.1375,149.4625
5573,Murray Basin,Murray Basin,1440,60,99.46,2500,3.6,1.5707963,391,-35.0375,148.2125
5574,Murray Basin,Murray Basin,1440,60,98.41,2500,3.6,0.7853982,217,-36.5375,146.6625
5575,Murray Basin,Murray Basin,1440,60,98.08,2500,3.6,1.5707963,1367,-35.2375,149.5125
5576,Murray Basin,Murray Basin,1440,60,96.69,2500,2.3,1.5707963,1066,-35.5875,149.0625
5577,Murray Basin,Murray Basin,1440,60,145.63,5000,3.6,1.5707963,783,-35.4875,149.5125
5578,Murray Basin,Murray Basin,1440,60,121.51,5000,2.3,1.5707963,1868,-36.5875,146.0125
5579,Murray Basin,Murray Basin,1440,60,111.1,5000,3.6,0.7853982,3048,-37.2875,145.2125
5580,Murray Basin,Murray Basin,1440,60,111.05,5000,2.3,1.5707963,1918,-35.4875,149.0125
