#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv"
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data Owner Name,Data Owner Code
G8110004,East Baines River - u/s Victoria Hwy,-15.76625,130.03375,NT,2443,"Department of Environment, Parks and Water Security",w00067
G8140001,Katherine River - Railway Bridge,-14.4633,132.2567,NT,8357,"Department of Environment, Parks and Water Security",w00067
G8140008,Fergusson River - Railway Bridge,-14.0712,131.9762,NT,1679,"Department of Environment, Parks and Water Security",w00067
G8140011,Dry River - Manbulloo Boundary,-15.0841,132.4109,NT,4786,"Department of Environment, Parks and Water Security",w00067
G8140040,Daly River - Mount Nancar,-13.83085,130.73585,NT,47652,"Department of Environment, Parks and Water Security",w00067
G8140063,Douglas River - d/s Old Douglas Homestead,-13.798,131.3396,NT,831.1,"Department of Environment, Parks and Water Security",w00067
G8140067,Daly River - u/s Dorisvale Crossing,-14.3633,131.5737,NT,33227,"Department of Environment, Parks and Water Security",w00067
G8150010,Finniss River - Batchelor Dam Site,-13.025,130.9512,NT,362.9,"Department of Environment, Parks and Water Security",w00067
G8150018,Elizabeth River - Stuart Hwy,-12.60605,131.07355,NT,95.6,"Department of Environment, Parks and Water Security",w00067
G8150098,Blackmore River - Tumbling Waters,-12.7813,130.9413,NT,165.5,"Department of Environment, Parks and Water Security",w00067
G8150180,Finniss River - Gitchams Crossing,-12.9696,130.7621,NT,1041,"Department of Environment, Parks and Water Security",w00067
G8170002,Adelaide River - Railway Bridge,-13.24125,131.1083,NT,638.4,"Department of Environment, Parks and Water Security",w00067
G8190001,West Alligator River - u/s Arnhem Hwy,-12.7911,132.1739,NT,245.8,"Department of Environment, Parks and Water Security",w00067
G8200045,South Alligator River - El Sherana,-13.52455,132.51955,NT,1231,"Department of Environment, Parks and Water Security",w00067
G9030001,Elsey Creek - Warlock Ponds,-15.0854,133.1229,NT,6784,"Department of Environment, Parks and Water Security",w00067
G9070142,McArthur River - Baileys Grave,-16.778,135.75625,NT,4261,"Department of Environment, Parks and Water Security",w00067
003303A,Barcoo River at Blackall,-24.43,145.46,QLD,5792,"Department of Regional Development, Manufacturing and Water",w00066
105101A,Normanby River at Battle Camp,-15.2812,144.8387,QLD,2306,"Department of Regional Development, Manufacturing and Water",w00066
105105A,East Normanby River at Mulligan Highway,-15.771166,145.01375,QLD,296.8,"Department of Regional Development, Manufacturing and Water",w00066
108002A,Daintree River at Bairds,-16.17875,145.281861,QLD,907.3,"Department of Regional Development, Manufacturing and Water",w00066
111005A,Mulgrave River at the Fisheries,-17.1832,145.7248,QLD,358.2,"Department of Regional Development, Manufacturing and Water",w00066
111007A,Mulgrave River at Peets Bridge,-17.13,145.76,QLD,522.8,"Department of Regional Development, Manufacturing and Water",w00066
112002A,Fisher Creek at Nerada,-17.564487,145.908013,QLD,16.2,"Department of Regional Development, Manufacturing and Water",w00066
112101B,South Johnstone River upstream of Central Mill,-17.6089,145.9791,QLD,397.7,"Department of Regional Development, Manufacturing and Water",w00066
112102A,Liverpool Creek at Upper Japoonvale,-17.71520831,145.9052083,QLD,77.8,"Department of Regional Development, Manufacturing and Water",w00066
113004A,Cochable Creek at Powerline,-17.73961111,145.62875,QLD,95.5,"Department of Regional Development, Manufacturing and Water",w00066
114001A,Murray River at Upper Murray,-18.1069,145.8054,QLD,155.8,"Department of Regional Development, Manufacturing and Water",w00066
116006B,Herbert River at Abergowrie,-18.49125,145.922213,QLD,7487,"Department of Regional Development, Manufacturing and Water",w00066
116010A,Blencoe Creek at Blencoe Falls,-18.2044,145.5369,QLD,223.7,"Department of Regional Development, Manufacturing and Water",w00066
116011A,Millstream at Ravenshoe,-17.60505,145.47745,QLD,90.1,"Department of Regional Development, Manufacturing and Water",w00066
116013A,Millstream at Archer Creek,-17.65125,145.3410684,QLD,309.3,"Department of Regional Development, Manufacturing and Water",w00066
116014A,Wild River at Silver Valley,-17.6266,145.29875,QLD,587.6,"Department of Regional Development, Manufacturing and Water",w00066
116015A,Blunder Creek at Wooroora,-17.73625,145.437374,QLD,127.4,"Department of Regional Development, Manufacturing and Water",w00066
117002A,Black River at Bruce Highway,-19.2377,146.6329,QLD,255.2,"Department of Regional Development, Manufacturing and Water",w00066
117003A,Bluewater Creek at Bluewater,-19.185,146.5461,QLD,89.9,"Department of Regional Development, Manufacturing and Water",w00066
118106A,Alligator Creek at Allendale,-19.39,146.96,QLD,68.5,"Department of Regional Development, Manufacturing and Water",w00066
119003A,Haughton River at Powerline,-19.63,147.11,QLD,1807,"Department of Regional Development, Manufacturing and Water",w00066
120102A,Keelbottom Creek at Keelbottom,-19.3719,146.3589,QLD,194.2,"Department of Regional Development, Manufacturing and Water",w00066
120301B,Belyando River at Gregory Development Rd.,-21.53,146.86,QLD,35326,"Department of Regional Development, Manufacturing and Water",w00066
120304A,Suttor River at Eaglefield,-21.45,147.71,QLD,1917,"Department of Regional Development, Manufacturing and Water",w00066
121002A,Elliot River at Guthalungra,-19.94,147.84,QLD,279.6,"Department of Regional Development, Manufacturing and Water",w00066
121003A,Don River at Reeves,-20.15,148.15,QLD,1016,"Department of Regional Development, Manufacturing and Water",w00066
122004A,Gregory River at Lower Gregory,-20.300381,148.547119,QLD,45.6,"Department of Regional Development, Manufacturing and Water",w00066
124002A,St.Helens Creek at Calen,-20.9075,148.7586,QLD,120.5,"Department of Regional Development, Manufacturing and Water",w00066
125005A,Blacks Creek at Whitefords,-21.3228,148.8351,QLD,506.8,"Department of Regional Development, Manufacturing and Water",w00066
126003A,Carmila Creek at Carmila,-21.915676,149.39875,QLD,86.3,"Department of Regional Development, Manufacturing and Water",w00066
129001A,Waterpark Creek at Byfield,-22.835,150.6653,QLD,241.3,"Department of Regional Development, Manufacturing and Water",w00066
130004A,Raglan Creek at Old Station,-23.8191,150.8206,QLD,391.6,"Department of Regional Development, Manufacturing and Water",w00066
130302A,Dawson River at Taroom,-25.64,149.79,QLD,15851,"Department of Regional Development, Manufacturing and Water",w00066
130324A,Dawson River at Utopia Downs,-25.7447,149.3299,QLD,6026,"Department of Regional Development, Manufacturing and Water",w00066
130403A,Connors River at Mount Bridget,-22.0383,149.1286,QLD,1281,"Department of Regional Development, Manufacturing and Water",w00066
130410A,Isaac River at Deverill,-22.1742,148.3811,QLD,4139,"Department of Regional Development, Manufacturing and Water",w00066
130413A,Denison Creek at Braeside,-21.7696,148.7869,QLD,759.8,"Department of Regional Development, Manufacturing and Water",w00066
132001A,Calliope River at Castlehope,-23.99,151.1,QLD,1288,"Department of Regional Development, Manufacturing and Water",w00066
135002A,Kolan River at Springfield,-24.7533,151.5872,QLD,550.3,"Department of Regional Development, Manufacturing and Water",w00066
135004A,Gin Gin Creek at Brushy Creek,-24.97,151.89,QLD,543.4,"Department of Regional Development, Manufacturing and Water",w00066
136006A,Reid Creek at Mungy,-25.2731,151.5173,QLD,218.3,"Department of Regional Development, Manufacturing and Water",w00066
136202D,Barambah Creek at Litzows,-26.301221,152.043779,QLD,646.6,"Department of Regional Development, Manufacturing and Water",w00066
136203A,Barker Creek at Brooklands,-26.73635469,151.8136453,QLD,312.9,"Department of Regional Development, Manufacturing and Water",w00066
136208A,Boonara Creek at Ettiewyn,-25.902786,151.84375,QLD,1399,"Department of Regional Development, Manufacturing and Water",w00066
136304A,Stuart River at Proston Rifle Range,-26.1816,151.5461,QLD,1545,"Department of Regional Development, Manufacturing and Water",w00066
137101A,Gregory River at Isis Highway,-25.0866455,152.2408545,QLD,453.2,"Department of Regional Development, Manufacturing and Water",w00066
137201A,Isis River at Bruce Highway,-25.2662455,152.3687455,QLD,449.3,"Department of Regional Development, Manufacturing and Water",w00066
138009A,Tinana Creek at Tagigan Road,-26.07875,152.7838197,QLD,101.8,"Department of Regional Development, Manufacturing and Water",w00066
138110A,Mary River at Bellbird Creek,-26.63,152.7,QLD,486.0,"Department of Regional Development, Manufacturing and Water",w00066
138903A,Tinana Creek at Bauple East,-25.82,152.72,QLD,784.3,"Department of Regional Development, Manufacturing and Water",w00066
140002A,Teewah Creek at Coops Corner,-26.0572,153.0426,QLD,57.8,"Department of Regional Development, Manufacturing and Water",w00066
141008A,Eudlo Creek at Kiels Mountain,-26.66,153.02,QLD,55.5,"Department of Regional Development, Manufacturing and Water",w00066
143007A,Brisbane River at Linville,-26.8061,152.2711,QLD,1999,"Department of Regional Development, Manufacturing and Water",w00066
143009A,Brisbane River at Gregors Creek,-26.99638563,152.40875,QLD,3876,"Department of Regional Development, Manufacturing and Water",w00066
143107A,Bremer River at Walloon,-27.6,152.69,QLD,628.1,"Department of Regional Development, Manufacturing and Water",w00066
143110A,Bremer River at Adams Bridge,-27.82773252,152.51125,QLD,126.5,"Department of Regional Development, Manufacturing and Water",w00066
143209B,Laidley Creek at Mulgowie,-27.7314,152.3633,QLD,167.3,"Department of Regional Development, Manufacturing and Water",w00066
143303A,Stanley River at Peachester,-26.83875,152.8403,QLD,101.7,"Department of Regional Development, Manufacturing and Water",w00066
145010A,Running Creek at Dieckmans Bridge,-28.24625,152.89125,QLD,129.0,"Department of Regional Development, Manufacturing and Water",w00066
145011A,Teviot Brook at Croftby,-28.147989,152.57125,QLD,85.1,"Department of Regional Development, Manufacturing and Water",w00066
145018A,Burnett Creek upstream of Maroon Dam,-28.219112,152.608388,QLD,82.4,"Department of Regional Development, Manufacturing and Water",w00066
145101D,Albert River at Lumeah Number 2,-28.05297,153.04547,QLD,165.9,"Department of Regional Development, Manufacturing and Water",w00066
