EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,20,5,Central Slopes,rare,21.96,28.24,29.02,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,20,5,Central Slopes,rare,32.92,29.11,17.72,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,20,5,Central Slopes,rare,23.42,24.71,24.78,27.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,20,5,Central Slopes,rare,14.14,35.64,27.87,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,20,5,Central Slopes,rare,20.37,29.63,28.24,21.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,20,5,Central Slopes,rare,21.74,28.26,32.61,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,25,5,Central Slopes,frequent,11.05,36.26,18.7,16.05,17.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,25,5,Central Slopes,frequent,22.62,27.61,17.22,12.04,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,25,5,Central Slopes,frequent,38.02,24,12.85,12.28,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,25,5,Central Slopes,frequent,23.99,29.99,20.54,12.74,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,25,5,Central Slopes,frequent,32.42,29.38,13.06,10.75,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,25,5,Central Slopes,frequent,23.23,22.25,19.24,17.64,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,25,5,Central Slopes,frequent,25.75,9.44,22.62,22.62,19.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,25,5,Central Slopes,frequent,21.61,25.18,23.63,16.91,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,25,5,Central Slopes,frequent,25.65,13.16,10.53,22.37,28.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,25,5,Central Slopes,frequent,16.16,10.11,21,22,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,25,5,Central Slopes,intermediate,35.43,23.43,13.71,8,19.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,25,5,Central Slopes,intermediate,26.21,24.83,18.62,19.31,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
