EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,20,5,Murray Basin,rare,28.55,30.45,23.44,17.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753,20,5,Murray Basin,rare,20.81,32.37,16.56,30.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3754,20,5,Murray Basin,rare,24.32,36.85,20.13,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755,20,5,Murray Basin,rare,17.58,20.29,28.46,33.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3756,20,5,Murray Basin,rare,24.42,15.15,14.39,46.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,25,5,Murray Basin,frequent,29.71,20.79,12.87,9.9,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,25,5,Murray Basin,frequent,38.46,17.58,2.33,22.98,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3804,25,5,Murray Basin,frequent,24.03,28.14,18.74,18.7,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3805,25,5,Murray Basin,frequent,20.28,7.25,23.19,27.54,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3806,25,5,Murray Basin,frequent,16.78,25.63,15.33,25.05,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3808,25,5,Murray Basin,frequent,14.68,30.69,23.98,18.78,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3809,25,5,Murray Basin,frequent,24.56,15.11,17.14,27.36,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3810,25,5,Murray Basin,frequent,9.21,26.47,22.49,14.5,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,25,5,Murray Basin,frequent,16.33,14.85,14.56,28.43,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3813,25,5,Murray Basin,frequent,14.19,16.82,14.71,41.43,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776,25,5,Murray Basin,intermediate,15.89,16.82,23.36,31.78,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,25,5,Murray Basin,intermediate,22.93,27.44,14.29,18.8,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
